canonical_dag_hash,action_label,gps_adapter_pca_x,gps_adapter_pca_y,gps_adapter_tsne_x,gps_adapter_tsne_y,v3_graph_pca_x,v3_graph_pca_y,v3_graph_tsne_x,v3_graph_tsne_y,sbert_document_pca_x,sbert_document_pca_y,sbert_document_tsne_x,sbert_document_tsne_y
f87333ebefacb38e,read,-0.2042814,0.33103085,16.24547,-15.451283,0.31274354,-0.4768845,6.383526,-20.384272,-0.18857588,-0.32960725,11.71722,1.8871025
a980ea303724e9f8,read,-0.19515446,0.33072487,16.393536,-16.140127,0.23736273,-0.71798617,4.281462,-20.135258,-0.081562996,-0.2757693,12.305688,0.98912054
fa2649f602351bca,read,-0.17172804,0.23689581,16.734228,-16.321533,0.1446398,-0.70224494,3.9508436,-19.89459,-0.037418153,-0.25548902,12.408192,0.8492571
8442de0dcbf855fd,read,-0.20071067,0.3122448,16.088377,-15.24198,0.41717094,-0.4868335,6.023622,-21.146723,-0.22250274,-0.30204934,11.629348,1.4643141
cfdbb6855f4e0278,read,-0.4639698,0.107230924,-5.714641,-9.133426,-0.13862364,-0.8294537,-4.3805676,-20.535847,0.25468868,-0.10470656,-12.234428,5.1647835
15c688d86b10b8ca,read,-0.40724245,-0.010534056,-5.9514737,-8.232178,-0.05163935,-0.8573252,-4.089639,-19.442007,0.24186176,-0.08472496,-12.0647335,4.752776
723ad139f49bd7b5,read,-0.42541167,0.07783011,-6.116976,-9.253133,-0.117465094,-0.7992876,-3.8880558,-21.112513,0.20308879,-0.10436087,-12.897931,5.4462366
6f0b17b8fe4aa015,read,-0.4757565,-0.005641399,-6.626663,-8.6354475,-0.1255186,-0.85973984,-3.2241395,-20.318748,0.28016984,-0.0549164,-13.020797,4.6463165
4af5d32b9ece1af3,read,-0.43655992,-0.040237457,-6.7559013,-8.393907,-0.06043631,-0.82125014,-2.5559826,-20.478184,0.24097013,-0.07025916,-13.244262,4.861178
589888affe46efa9,read,-0.42253685,0.05154957,-5.5246854,-8.737594,-0.16171958,-0.788013,-4.7426534,-19.848808,0.20509535,-0.13338703,-12.516995,5.280545
21308137eeaa5eec,edit,0.10587308,0.38025144,11.108805,16.548899,0.12605448,-0.7550666,-1.627374,-16.15357,-0.15475091,0.17292087,18.045485,-11.93557
